Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-Nov-16,27.05,28.55,24.05,25.1,26.30814443,2666889,5732,70160901,1035632,38.83,4.5,-1.95
10-Nov-16,29.5,29.8,28.4,28.65,29.05710494,1431785,2815,41603527,607681,42.44,1.4,-0.85
9-Nov-16,24.8,29.5,22.7,28.2,26.4355808,4263395,9999,112705323,1126732,26.43,6.8,3.4
8-Nov-16,28.05,28.45,27.25,28.05,27.94462254,1162621,2523,32489005,343314,29.53,1.2,0
7-Nov-16,28.3,28.75,27.7,27.9,28.262942,710883,1712,20091645,273085,38.41,1.05,-0.4
4-Nov-16,29,29.7,26.45,27.5,27.90819603,3183773,7422,88853361,1013626,31.84,3.25,-1.5
3-Nov-16,28.55,29.7,27.95,28.25,28.87722413,1600795,3438,46226516,639275,39.93,1.75,-0.3
2-Nov-16,28.95,29.4,28.35,28.55,28.82971432,2131841,4849,61460367,731764,34.33,1.05,-0.4
1-Nov-16,27.55,30.8,26.95,29.9,29.32828023,4354487,10033,127709615,1240825,28.5,3.85,2.35
30-Oct-16,27.25,27.85,27.25,27.45,27.51162493,578799,1476,15923701,302594,52.28,0.6,0.2
28-Oct-16,27.15,27.75,26.85,27.25,27.28659236,1051162,2354,28682629,383896,36.52,0.9,0.1
27-Oct-16,27.4,27.7,26.6,27.05,27.11155315,1270874,2659,34455368,440834,34.69,1.1,-0.35
26-Oct-16,26.4,28.5,26.2,27.4,27.48246428,3534956,7970,97149302,918628,25.99,2.3,1
25-Oct-16,27,27.1,25.75,26.15,26.29745632,1855301,3196,48789697,677791,36.53,1.35,-0.85
